excess_blob_gas,blob_base_fee_dencun,blob_base_fee_pectra
104595456,40417785035345,1177734599
104726528,42036190595902,1208967597
104857600,43719400218181,1241028881
104988672,45470008775458,1273940415
105119744,47290715055347,1307724750
105250816,49184325901900,1342405029
105381888,51153760554195,1378005015
105512960,53202055144598,1414549095
105644032,55332367373758,1452062310
105775104,57547981384711,1490570357
105906176,59852312827107,1530099621
106037248,62248914113157,1570677183
106168320,64741479907710,1612330844
106299392,67333852810253,1655089142
106430464,70030029291333,1698981372
106561536,72834165885975,1744037602
106692608,75750585438599,1790288705
106823680,78783784018585,1837766366
106954752,81938437681532,1886503113
107085824,85219409767725,1936532338
107216896,88631758211830,1987888316
107347968,92180743625232,2040606231
107479040,95871837270181,2094722202
107610112,99710729314173,2150273305
107741184,103703337954860,2207297597
107872256,107855818357536,2265834149
108003328,112174571966806,2325923065
108134400,116666256804698,2387605511
108265472,121337797245855,2450923748
108396544,126196395113311,2515921158
108527616,131249540620835,2582642269
108658688,136505023684851,2651132795
108789760,141970946437068,2721439660
108920832,147655735199257,2793611030
109051904,153568153721376,2867696353
109182976,159717316886326,2943746387
109314048,166112704246434,3021813235
109445120,172764175251343,3101950380
109576192,179681983903350,3184212727
109707264,186876794770112,3268656633
109838336,194359699747437,3355339954
109969408,202142234581454,3444322080
110100480,210236396898146,3535663972
110231552,218654665102973,3629428210
110362624,227410016899035,3725679035
110493696,236515949746220,3824482386
110624768,245986501606227,3925905963
110755840,255836272359942,4030019242
110886912,266080446944803,4136893563
111017984,276734817910454,4246602142
111149056,287815810301775,4359220145
111280128,299340506844358,4474824728
111411200,311326674331748,4593495091
111542272,323792790927721,4715312540
111673344,336758074715607,4840360536
111804416,350242513302864,4968724746
111935488,364266894660709,5100493119
112066560,378852839095667,5235755932
112197632,394022832703516,5374605856
112328704,409800261912037,5517138016
112459776,426209449608623,5663450063
112590848,443275692630060,5813642245
112721920,461025300709208,5967817455
112852992,479485637113205,6126081324
112984064,498685160996294,6288542277
113115136,518653470355749,6455311624
113246208,539421349062101,6626503622
113377280,561020813404411,6802235557
113508352,583485162008173,6982627822
113639424,606849025853148,7167804011
113770496,631148423547400,7357890992
113901568,656420815712256,7553018992
114032640,682705163192952,7753321701
114163712,710041985963921,7958936345
114294784,738473427493078,8170003806
114425856,768043318788886,8386668678
114556928,798797244770402,8609079402
114688000,830782617302608,8837388362
114819072,864048745024469,9071751976
114950144,898646912656982,9312330811
115081216,934630456721927,9559289693
115212288,972054851371201,9812797809
115343360,1010977789911856,10073028843
115474432,1051459278056574,10340161099
115605504,1093561721977475,10614377577
115736576,1137350028976067,10895866158
115867648,1182891703116110,11184819685
115998720,1230256953744726,11481436134
116129792,1279518799745445,11785918723
116260864,1330753183792911,12098476047
116391936,1384039091406066,12419322257
116523008,1439458668825133,12748677169
116654080,1497097352335773,13086766429
116785152,1557043998414694,13433821661
116916224,1619391023806344,13790080645
117047296,1684234543581628,14155787453
117178368,1751674522073432,14531192657
117309440,1821814925708241,14916553433
117440512,1894763886340835,15312133798
117571584,1970633863054459,15718204782
117702656,2049541819102122,16135044592
117833728,2131609400813994,16562938811
117964800,2216963125749645,17002180588
118095872,2305734577446682,17453070865
118226944,2398060608059185,17915918557
118358016,2494083549826062,18391040756
118489088,2593951434153152,18878762986
118620160,2697818219992355,19379419399
118751232,2805844030806611,19893353002
118882304,2918195402142502,20420915888
119013376,3035045537617126,20962469496
119144448,3156574576360692,21518384885
119275520,3282969870598336,22089042891
119406592,3414426274664536,22674834501
119537664,3551146446616710,23276161033
119668736,3693341154593831,23893434482
119799808,3841229611049356,24527077754
119930880,3995039804552599,25177524973
120061952,4155008852955988,25845221747
120193024,4321383370409327,26530625552
120324096,4494419840367469,27234205946
120455168,4674385022142757,27956444988
120586240,4861556356692907,28697837492
120717312,5056222387865956,29458891404
120848384,5258683219905764,30240128115
120979456,5469250973845698,31042082881
121110528,5688250261620592,31865305140
121241600,5916018703106367,32710358870
121372672,6152907426690446,33577823058
121503744,6399281631469391,34468292021
121634816,6655521128525175,35382375808
121765888,6922020945916986,36320700696
121896960,7199191929701901,37283909555
122028032,7487461370782447,38272662267
122159104,7787273669149118,39287636268
122290176,8099091029785516,40329526940
122421248,8423394151581362,41399048068
122552320,8760682995373296,42496932430
122683392,9111477530686404,43623932210
122814464,9476318547089916,44780819531
122945536,9855768500813916,45968386972
123076608,10250412357999810,47187448182
123207680,10660858506983109,48438838333
123338752,11087739710224372,49723414803
123469824,11531714055368057,51042057684
123600896,11993465983723769,52395670398
123731968,12473707338488089,53785180298
123863040,12973178482666200,55211539391
123994112,13492649408637454,56675724871
124125184,14032920945453476,58178739952
124256256,14594825989859793,59721614295
124387328,15179230788970536,61305404955
124518400,15787036276030700,62931197052
124649472,16419179458891646,64600104445
124780544,17076634866531921,66313270538
124911616,17760416047896055,68071869006
125042688,18471577137793403,69877104733
125173760,19211214480271113,71730214525
125304832,19980468319664607,73632467940
125435904,20780524555842960,75585168282
125566976,21612616576588579,77589653385
125698048,22478027156538271,79647296560
125829120,23378090433360081,81759507482
125960192,24314193968741843,83927733267
126091264,25287780883017428,86153459503
126222336,26300352093682944,88438210976
126353408,27353468584695875,90783553054
126484480,28448753877369632,93191092535
126615552,29587896491127803,95662478965
126746624,30772652571281323,98199405361
126877696,32004848540957065,100803610003
127008768,33286383998532858,103476876955
127139840,34619234590298609,106221037775
127270912,36005455089013916,109037972549
127401984,37447182496137934,111929611134
127533056,38946639447556336,114897934713
127664128,40506137511902014,117944976861
127795200,42128080866725497,121072825311
127926272,43814969957924553,124283622860
128057344,45569405302045372,127579569292
128188416,47394091618121633,130962922850
128319488,49291841849112983,134436001393
128450560,51265581657539073,138001184387
128581632,53318353768110437,141660914553
128712704,55453322827524441,145417699082
128843776,57673780117042414,149274111799
128974848,59983148794511328,153232794997
129105920,62384989018318380,157296460663
129236992,64883003500495273,161467892949
129368064,67481043294778437,165749949706
129499136,70183113579805189,170145564734
129630208,72993379908859927,174657749569
129761280,75916174714842504,179289595457
129892352,78956003824314771,184044275982
130023424,82117553517140389,188925048338
130154496,85405697682586213,193935256760
130285568,88825505472999827,199078333605
130416640,92382248921207893,204357802607
130547712,96081411193158505,209777280812
130678784,99928695008282323,215340481096
130809856,103930031436980170,221051215022
130940928,108091589005104731,226913394982
131072000,112419783351538363,232931037523
131203072,116921286889761029,239108265040
131334144,121603039258482508,245449310072
131465216,126472257959701248,251958516715
131596288,131536449507010763,258640344663
131727360,136803420987563012,265499371772
131858432,142281292097636226,272540297139
131989504,147978507658158418,279767944745
132120576,153903850707312260,287187266424
132251648,160066455786742124,294803345280
132382720,166475823380035480,302621399033
132513792,173141834330965381,310646783986
132644864,180074765131092348,318884998817
132775936,187285303762736534,327341687321
132907008,194784566174539525,336022643537
133038080,202584113499762806,344933814680
133169152,210695969565867458,354081306203
133300224,219132639888959438,363471385221
133431296,227907130659194425,373110485009
133562368,237032968933731221,383005209299
133693440,246524223167641524,393162337365
133824512,256395525407848436,403588827812
133955584,266662093602360732,414291824199
134086656,277339754755176836,425278659369
134217728,288444970015542215,436556860642
134348800,299994859278551575,448134154616
134479872,312007228221542106,460018473356
134610944,324500595556719836,472217959029
134742016,337494221132414780,484740969494
134873088,351008136495876994,497596084694
135004160,365063174796868267,510792111916
135135232,379681003894418801,524338091772
135266304,394884158729395103,538243305058
135397376,410696077165463832,552517278516
135528448,427141135112487615,567169791213
135659520,444244684524225390,582210882123
135790592,462033092993049635,597650856202
135921664,480533783419594195,613500291314
136052736,499775276752217682,629770046512
136183808,519787236529496381,646471268512
136314880,540600513532640454,663615399597
136445952,562247193799885901,681214185168
136577024,584760648840712001,699279682874
136708096,608175585752533797,717824269257
136839168,632528101613882204,736860649969
136970240,657855738862357241,756401867187
137101312,684197542979809944,776461308884
137232384,711594123665523498,797052717831
137363456,740087715922255597,818190201932
137494528,769722246217710971,839888242398
137625600,800543399873222556,862161705866
137756672,832598691582026845,885025851430
137887744,865937538575672887,908496343609
138018816,900611336884556113,932589262969
138149888,936673540519833817,957321115973
138280960,974179743888043217,982708846975
138412032,1013187767479192735,1008769848919
138543104,1053757747075224541,1035521977218
138674176,1095952226388727951,1062983560262
138805248,1139836253500467306,1091173411943
138936320,1185477481134797910,1120110846685
139067392,1232946270972019586,1149815688431
139198464,1282315802546504981,1180308290097
139329536,1333662184303363662,1211609541625
139460608,1387064573557175069,1243740888667
139591680,1442605296784713237,1276724344301
139722752,1500369976974371280,1310582506724
139853824,1560447666159708536,1345338572862
139984896,1622930980609903731,1381016353841
140115968,1687916246674430290,1417640294755
140247040,1755503647282504588,1455235485096
140378112,1825797377542145214,1493827684125
140509184,1898905802801896698,1533443330636
140640256,1974941630161235383,1574109566768
140771328,2054022077034102400,1615854253615
140902400,2136269056481133728,1658705990539
141033472,2221809363322622554,1702694136665
141164544,2310774867210522870,1747848828404
141295616,2403302721080947314,1794201003571
141426688,2499535566707354446,1841782417306
141557760,2599621760652166177,1890625668338
141688832,2703715596701264959,1940764222007
141819904,2811977550313675781,1992232427131
141950976,2924574519039245141,2045065545465
142082048,3041680087113013383,2099299776074
142213120,3163474786531374947,2154972273593
142344192,3290146377936199945,2212121180294
142475264,3421890143651951058,2270785652130
142606336,3558909182259680545,2331005878908
142737408,3701414724426379870,2392823119762
142868480,3849626462834674762,2456279725471
142999552,4003772883216660658,2521419172669
143130624,4164091621510171727,2588286089477
143261696,4330829827965860852,2656926286298
143392768,4504244553146542875,2727386792360
143523840,4684603136058448254,2799715877615
143654912,4872183622279035637,2873963099776
143785984,5067275190541401524,2950179324271
143917056,5270178597286798835,3028416769827
144048128,5481206646939292557,3108729038106
144179200,5700684664100546374,3191171151041
144310272,5928951001392509157,3275799592685
144441344,6166357560387227604,3362672341839
144572416,6413270332794161265,3451848920000
144703488,6670069965602875907,3543390420101
144834560,6937152347932190753,3637359559175
144965632,7214929220318928217,3733820718420
145096704,7503828811083898682,3832839985526
145227776,7804296494862978178,3934485200054
145358848,8116795480422080870,4038825999258
145489920,8441807526860493594,4145933870882
145620992,8779833675623672871,4255882196068
145752064,9131395038841581244,4368746302895
145883136,9497033592836897201,4484603514091
146014208,9877313015072347006,4603533205853
146145280,10272819553727946538,4725616862849
146276352,10684162935378562306,4850938122817
146407424,11111977290879518332,4979582847721
146538496,11556922152832390074,5111639171966
146669568,12019683459458534132,5247197571892
146800640,12500974619318012429,5386350921331
