blockchain,chain_id,dt,layer,name,num_qualified_txs,num_raw_txs,num_success_txs,last_updated
linea,59144,2024-06-15 00:00:00.000 UTC,L2,Linea,332605,391786,388718,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-16 00:00:00.000 UTC,L2,Arbitrum One,2115825,2539803,2438088,2024-07-01 00:19:07.295055
linea,59144,2024-05-17 00:00:00.000 UTC,L2,Linea,351549,439673,433140,2024-07-01 00:19:07.295055
mantle,5000,2024-05-25 00:00:00.000 UTC,L2,Mantle,209562,229119,218534,2024-07-01 00:19:07.295055
zksync,324,2024-05-22 00:00:00.000 UTC,L2,zkSync Era,751015,751015,736628,2024-07-01 00:19:07.295055
scroll,534352,2024-06-28 00:00:00.000 UTC,L2,Scroll,306727,363160,353839,2024-07-01 00:19:07.295055
base,8453,2024-06-28 00:00:00.000 UTC,L2,Base,2357223,3460524,3324816,2024-07-01 00:19:07.295055
zora,7777777,2024-06-16 00:00:00.000 UTC,L2,ZORA,104282,127766,126818,2024-07-01 00:19:07.295055
gnosis,100,2024-04-03 00:00:00.000 UTC,L1,Gnosis,143913,162669,160796,2024-07-01 00:19:07.295055
celo,42220,2024-06-24 00:00:00.000 UTC,L1,Celo,672711,744017,719999,2024-07-01 00:19:07.295055
ethereum,1,2024-04-04 00:00:00.000 UTC,L1,Ethereum,784358,1233981,1208299,2024-07-01 00:19:07.295055
blast,81457,2024-05-20 00:00:00.000 UTC,L2,Blast,519452,636198,609279,2024-07-01 00:19:07.295055
fantom,250,2024-04-24 00:00:00.000 UTC,L1,Fantom,118581,239625,212717,2024-07-01 00:19:07.295055
blast,81457,2024-06-18 00:00:00.000 UTC,L2,Blast,852458,964536,918291,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-26 00:00:00.000 UTC,L1,Avalanche C-Chain,128880,176118,169561,2024-07-01 00:19:07.295055
polygon,137,2024-06-28 00:00:00.000 UTC,L1,Polygon PoS,4180517,4178361,3852196,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-20 00:00:00.000 UTC,L1,Avalanche C-Chain,172727,217154,202443,2024-07-01 00:19:07.295055
base,8453,2024-05-21 00:00:00.000 UTC,L2,Base,1447832,2084386,1769297,2024-07-01 00:19:07.295055
zora,7777777,2024-04-18 00:00:00.000 UTC,L2,ZORA,105585,373280,372626,2024-07-01 00:19:07.295055
bnb,56,2024-05-20 00:00:00.000 UTC,L1,BNB,2785640,3206998,3020780,2024-07-01 00:19:07.295055
mantle,5000,2024-06-15 00:00:00.000 UTC,L2,Mantle,555106,614299,606650,2024-07-01 00:19:07.295055
celo,42220,2024-04-26 00:00:00.000 UTC,L1,Celo,510333,555187,532281,2024-07-01 00:19:07.295055
