blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
fantom,L1,Potential Non-Sybil,2024-08-31,979.5156962682728,915.288490346061,78964296704,75797061678,13249,147569,131522,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
fantom,L1,Volume too Low,2024-08-31,38.322996718785994,36.43761194903558,2673089123,2553599208,7770,17029,16627,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
fantom,L1,Likely Sybil,2024-08-31,295.3875176585031,292.6702239631289,38983849021,38844899224,4135,52411,51636,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,Potential Non-Sybil,2024-08-31,187.15445017726145,178.7465314346437,84470751510,79271890430,117866,625814,608296,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
ethereum,L1,Likely Sybil,2024-08-31,6.556248968777017,6.4061596273576535,3591946188,3465981020,24244,88376,86046,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
ethereum,L1,Volume too Low,2024-08-31,29.153591925419363,28.568886303085854,19531690310,19146516932,208881,296891,293792,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,Volume too Low,2024-08-31,17.949195470619372,17.89496634315852,4028549538,4016820473,31188,43109,42978,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
celo,L1,Likely Sybil,2024-08-31,238.85450385767692,230.3904351772039,29646258795,29536786799,422493,685356,684411,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
celo,L1,Potential Non-Sybil,2024-08-31,439.57133904169353,400.2762167490277,54157304416,52210122532,84606,307931,299493,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
bnb,L1,Potential Non-Sybil,2024-08-31,355.54695853119284,343.1020311959752,210236664547,200312739070,380520,1756379,1669133,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
bnb,L1,Volume too Low,2024-08-31,78.53876973946974,77.24428203099995,57538244025,56563215485,339918,556115,550363,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
bnb,L1,Likely Sybil,2024-08-31,53.159041724668946,50.079994898415045,19629137455,17439890663,86631,351663,343433,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
base,L2,Likely Sybil,2024-08-31,2.3168824766081433,1.8097233042680063,128322749102,126775585018,107144,683288,666925,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
