blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
op chains,Aggregate,17970,2024-05-06,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-06,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,19028,2024-05-06,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7818,2024-05-06,l1s,False,,,Other EVMs,,L1s
gnosis,L1,133,2024-05-06,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,217,2024-05-06,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2110,2024-05-06,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,172,2024-05-06,celo,False,,,Other EVMs,,Celo
bnb,L1,3355,2024-05-06,bnb,False,,,Other EVMs,,BNB
base,L2,17580,2024-05-06,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,451,2024-05-06,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1411,2024-05-06,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,26043,2024-05-06,all,False,,,Other EVMs,,All
zora,L2,67,2024-05-05,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2330,2024-05-05,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,558,2024-05-05,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17964,2024-05-05,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-05,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,19007,2024-05-05,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7818,2024-05-05,l1s,False,,,Other EVMs,,L1s
gnosis,L1,127,2024-05-05,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,219,2024-05-05,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2085,2024-05-05,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,171,2024-05-05,celo,False,,,Other EVMs,,Celo
bnb,L1,3380,2024-05-05,bnb,False,,,Other EVMs,,BNB
base,L2,17569,2024-05-05,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,441,2024-05-05,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1390,2024-05-05,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,26028,2024-05-05,all,False,,,Other EVMs,,All
zora,L2,69,2024-05-04,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2359,2024-05-04,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,563,2024-05-04,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,18004,2024-05-04,op chains,False,,,Other EVMs,,OP Chains
