defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
Terra2,terra-luna-2,LUNA,20314,['Cosmos'],,['terra-money'],terra_money,https://www.terra.money/,,
SXnetwork,sx-network,SX,8377,"['EVM', 'Rollup']",,['sx-network'],SX_Network,https://www.sx.technology/,"{'chain': 'Polygon', 'types': ['L2', 'gas']}",
Echelon,echelon,ECH,20047,"['EVM', 'Cosmos']",,,,,,
MultiVAC,multivac,MTV,3853,,,['multivactech'],,,,
ORE,ptokens-ore,ORE,12743,,,['Open-Rights-Exchange'],,,,
LBRY,lbry-credits,LBC,1298,,,['lbryio'],LBRYcom,https://lbry.com/,,
Ravencoin,ravencoin,RVN,2577,,,['RavenProject'],Ravencoin,https://ravencoin.org/,,
Acala,acala,ACA,6756,['Parachain'],,['AcalaNetwork'],AcalaNetwork,https://acala.network/,"{'chain': 'Polkadot', 'types': ['parachain']}",
ICP,internet-computer,ICP,8916,,,['dfinity'],dfinity,https://internetcomputer.org/,,['icp']
Nova Network,supernova,SNT,15399,['EVM'],87,['nova-network-inc'],,,,['snapshot:novanetwork.eth']
Kintsugi,kintsugi,KINT,13675,['Parachain'],,['interlay'],kintsugi_btc,https://www.interlay.io/,"{'chain': 'Kusama', 'types': ['parachain']}",
Filecoin,filecoin,FIL,2280,['EVM'],,['filecoin-project'],Filecoin,https://filecoin.io/,,
Flow,flow,FLOW,4558,,,['onflow'],flow_blockchain,https://flow.com/,,
Kujira,kujira,KUJI,15185,['Cosmos'],,['Team-Kujira'],TeamKujira,https://kujira.network/,,
Heiko,,HKO,,['Parachain'],,['parallelchain-io'],ParallelFi,https://parallel.fi/,"{'chain': 'Kusama', 'types': ['parachain']}",
Dogechain,dogechain,DG,,['EVM'],,['dogechain-lab'],DogechainFamily,https://dogechain.dog/,,
Canto,canto,CANTO,21516,"['EVM', 'Cosmos']",,['Canto-Network'],CantoPublic,https://canto.io/,,
Ripple,ripple,XRP,52,,,['ripple'],Ripple,https://ripple.com/,,
GodwokenV1,,,,['EVM'],71402,['godwokenrises'],GodwokenRises,https://godwoken.com/,"{'chain': 'Godwoken', 'types': ['emulator', 'gas']}",
Arbitrum Nova,,,,"['EVM', 'Rollup']",42170,['OffchainLabs'],arbitrum,https://arbitrum.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Ultron,ultron,ULX,21524,['EVM'],1231,['UltronFoundationDev'],ultron_found,https://ultron.foundation/,,
