dt,blockchain,layer,num_qualified_txs,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
2024-03-16,zksync,L2,1199308.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-16,scroll,L2,225953.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-16,polygon,L1,4711774.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-16,optimism,L2,379915.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-16,mode,L2,64309.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-16,gnosis,L1,163497.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-16,fraxtal,L2,8273.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-16,fantom,L1,121704.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-16,ethereum,L1,682195.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-16,celo,L1,196760.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-16,bnb,L1,2949207.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-16,blast,L2,168760.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-16,base,L2,739884.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-16,avalanche_c,L1,321079.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-16,arbitrum,L2,805760.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-15,zora,L2,79309.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-15,zksync,L2,1201148.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-15,scroll,L2,166387.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-15,polygon,L1,4853697.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-15,optimism,L2,433413.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-15,mode,L2,67722.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-15,gnosis,L1,190872.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-15,fraxtal,L2,8403.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-15,fantom,L1,112922.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-15,ethereum,L1,704952.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-15,celo,L1,211141.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-15,bnb,L1,3253836.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-15,blast,L2,197586.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-15,base,L2,986232.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-15,avalanche_c,L1,377610.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-15,arbitrum,L2,923709.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-14,zora,L2,75744.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-14,zksync,L2,1179295.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-14,scroll,L2,137727.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-14,polygon,L1,4664963.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-14,optimism,L2,352468.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-14,mode,L2,64622.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-14,gnosis,L1,161207.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-14,fraxtal,L2,8875.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-14,fantom,L1,130738.0,dune,fantom,False,,,Other EVMs,,Fantom
