blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
l2,Aggregate,-1,4562,2024-07-20,False,,Aggregate,,L2s
l1,Aggregate,-1,6596,2024-07-20,False,,Aggregate,,L1s
gnosis,L1,100,115,2024-07-20,False,,Other EVMs,,Gnosis
fantom,L1,250,130,2024-07-20,False,,Other EVMs,,Fantom
ethereum,L1,1,2433,2024-07-20,False,,Other EVMs,,Ethereum
celo,L1,42220,88,2024-07-20,False,,Other EVMs,,Celo
bnb,L1,56,2470,2024-07-20,False,,Other EVMs,,BNB
base,L2,8453,3343,2024-07-20,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,358,2024-07-20,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1284,2024-07-20,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10480,2024-07-20,False,,Aggregate,,All
zora,L2,7777777,34,2024-07-19,True,modern,OP Chain,zora,Zora
polygon,L1,137,1853,2024-07-19,False,,Other EVMs,,Polygon PoS
optimism,L2,10,526,2024-07-19,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3669,2024-07-19,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-19,False,,Aggregate,,L3s
l2,Aggregate,-1,4601,2024-07-19,False,,Aggregate,,L2s
l1,Aggregate,-1,6664,2024-07-19,False,,Aggregate,,L1s
gnosis,L1,100,117,2024-07-19,False,,Other EVMs,,Gnosis
fantom,L1,250,131,2024-07-19,False,,Other EVMs,,Fantom
ethereum,L1,1,2444,2024-07-19,False,,Other EVMs,,Ethereum
celo,L1,42220,87,2024-07-19,False,,Other EVMs,,Celo
bnb,L1,56,2502,2024-07-19,False,,Other EVMs,,BNB
base,L2,8453,3359,2024-07-19,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,365,2024-07-19,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1317,2024-07-19,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10570,2024-07-19,False,,Aggregate,,All
zora,L2,7777777,34,2024-07-18,True,modern,OP Chain,zora,Zora
polygon,L1,137,1860,2024-07-18,False,,Other EVMs,,Polygon PoS
optimism,L2,10,526,2024-07-18,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3668,2024-07-18,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-18,False,,Aggregate,,L3s
l2,Aggregate,-1,4609,2024-07-18,False,,Aggregate,,L2s
l1,Aggregate,-1,6642,2024-07-18,False,,Aggregate,,L1s
gnosis,L1,100,120,2024-07-18,False,,Other EVMs,,Gnosis
fantom,L1,250,132,2024-07-18,False,,Other EVMs,,Fantom
ethereum,L1,1,2427,2024-07-18,False,,Other EVMs,,Ethereum
celo,L1,42220,85,2024-07-18,False,,Other EVMs,,Celo
bnb,L1,56,2513,2024-07-18,False,,Other EVMs,,BNB
base,L2,8453,3365,2024-07-18,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,364,2024-07-18,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1330,2024-07-18,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10552,2024-07-18,False,,Aggregate,,All
zora,L2,7777777,32,2024-07-17,True,modern,OP Chain,zora,Zora
polygon,L1,137,1856,2024-07-17,False,,Other EVMs,,Polygon PoS
optimism,L2,10,537,2024-07-17,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3700,2024-07-17,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-17,False,,Aggregate,,L3s
l2,Aggregate,-1,4653,2024-07-17,False,,Aggregate,,L2s
l1,Aggregate,-1,6647,2024-07-17,False,,Aggregate,,L1s
gnosis,L1,100,119,2024-07-17,False,,Other EVMs,,Gnosis
fantom,L1,250,134,2024-07-17,False,,Other EVMs,,Fantom
ethereum,L1,1,2428,2024-07-17,False,,Other EVMs,,Ethereum
celo,L1,42220,87,2024-07-17,False,,Other EVMs,,Celo
bnb,L1,56,2520,2024-07-17,False,,Other EVMs,,BNB
base,L2,8453,3390,2024-07-17,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,359,2024-07-17,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1338,2024-07-17,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10611,2024-07-17,False,,Aggregate,,All
zora,L2,7777777,35,2024-07-16,True,modern,OP Chain,zora,Zora
polygon,L1,137,1840,2024-07-16,False,,Other EVMs,,Polygon PoS
optimism,L2,10,549,2024-07-16,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3724,2024-07-16,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-16,False,,Aggregate,,L3s
l2,Aggregate,-1,4675,2024-07-16,False,,Aggregate,,L2s
l1,Aggregate,-1,6614,2024-07-16,False,,Aggregate,,L1s
gnosis,L1,100,119,2024-07-16,False,,Other EVMs,,Gnosis
fantom,L1,250,140,2024-07-16,False,,Other EVMs,,Fantom
ethereum,L1,1,2429,2024-07-16,False,,Other EVMs,,Ethereum
celo,L1,42220,86,2024-07-16,False,,Other EVMs,,Celo
bnb,L1,56,2512,2024-07-16,False,,Other EVMs,,BNB
base,L2,8453,3405,2024-07-16,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,364,2024-07-16,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1335,2024-07-16,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10602,2024-07-16,False,,Aggregate,,All
zora,L2,7777777,37,2024-07-15,True,modern,OP Chain,zora,Zora
polygon,L1,137,1824,2024-07-15,False,,Other EVMs,,Polygon PoS
optimism,L2,10,541,2024-07-15,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3741,2024-07-15,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-15,False,,Aggregate,,L3s
l2,Aggregate,-1,4696,2024-07-15,False,,Aggregate,,L2s
l1,Aggregate,-1,6629,2024-07-15,False,,Aggregate,,L1s
gnosis,L1,100,122,2024-07-15,False,,Other EVMs,,Gnosis
fantom,L1,250,138,2024-07-15,False,,Other EVMs,,Fantom
ethereum,L1,1,2428,2024-07-15,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-15,False,,Other EVMs,,Celo
bnb,L1,56,2530,2024-07-15,False,,Other EVMs,,BNB
base,L2,8453,3419,2024-07-15,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,364,2024-07-15,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1336,2024-07-15,False,,Other EVMs,,Arbitrum One
