,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_incoming_clawback,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
45,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Gelato"" target=""_blank"">Gelato</a>",Gelato,Governance - Phase 0,300000.0,54963,54963,0,0,300000,|,|,|,1.0,1.0,0.18321,1,0.18321,Not Launched,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-gelato/873/4"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
46,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Mean%20Finance"" target=""_blank"">Mean Finance</a>",Mean Finance,Governance - Season 1,300000.0,12137,12137,0,0,300000,|,|,|,1.0,1.0,0.04045666666666667,1,0.04045666666666667,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-mean-finance/2537"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
47,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=0x"" target=""_blank"">0x</a>",0x,Governance - Phase 0,300000.0,452,452,0,0,300000,|,|,|,1.0,1.0,0.0015066666666666666,1,0.0015066666666666666,Not Launched,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
48,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Kromatika"" target=""_blank"">Kromatika</a>",Kromatika,Governance - Season 2,300000.0,0,0,0,0,300000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x86ccfd9ccce609cb27fdbd5b8344a8fee67805d896e75cbe127185c8d94656f1"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
49,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Dope%20Wars"" target=""_blank"">Dope Wars</a>",Dope Wars,Governance - Season 2,300000.0,0,0,0,0,300000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xe290c12c3871de18c7be44d0ce19e3fe46401adbdd9fa25077629cb356889be2"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
50,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Connext"" target=""_blank"">Connext</a>",Connext,Governance - Phase 0,300000.0,0,0,0,0,0,|,|,|,1.0,0.0,NaN,NaN,NaN,Not Launched,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-connext/851"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
51,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=WardenSwap"" target=""_blank"">WardenSwap</a>",WardenSwap,Governance - Season 1,300000.0,0,0,0,0,300000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-wardenswap/2712"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
52,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Overtime%20Markets"" target=""_blank"">Overtime Markets</a>",Overtime Markets,Governance - Season 2,0.0,0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x7fcc9c9537a7061bae91a25b9dfa4c995a4618e1d7bb9b034b79ab5c214fb3e8"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
53,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Alchemix"" target=""_blank"">Alchemix</a>",Alchemix,Governance - Season 2,250000.0,8580,8580,0,0,250000,|,|,|,1.0,1.0,0.03432,1,0.03432,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xe61bea48154a9c59a7ac1ddb56799c77b1b7a2f138a398c48fff835221f25430"" target=""_blank"">Link</a>",250000,2023-02-14 11:50:30.086732+00:00
54,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Angle"" target=""_blank"">Angle</a>",Angle,Governance - Season 2,250000.0,4320,4320,0,0,250000,|,|,|,1.0,1.0,0.01728,1,0.01728,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xc9c0a739a29ce6477708f49a2985e4c8cb2e4ba0be1d3761541ed189a9c341e1"" target=""_blank"">Link</a>",250000,2023-02-14 11:50:30.086732+00:00
55,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Revert%20Finance"" target=""_blank"">Revert Finance</a>",Revert Finance,Governance - Season 2,240000.0,174080,180070,0,0,240008,|,|,|,1.0,1.0000333333333333,0.7253091563614547,0.966735158549453,0.7502666577780741,Live Program,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x1fda82a16813cb299b031a6a543550f2cd792dd47168671519d9ae5d40351667"" target=""_blank"">Link</a>",240000,2023-02-14 11:50:30.086732+00:00
