dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_raw_transactions,sum_gas_used,tx_success,tx_success_desc,last_updated
2023-05-24 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,76,5371399,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-28 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,31,1481203,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-16 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,False,non-contract tx,2,42000,False,failed,2024-05-16 00:33:20.268740+00:00
2024-01-13 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,True,contract tx,1,21256,False,failed,2024-05-16 00:33:20.268740+00:00
2024-01-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,False,non-contract tx,4,84000,False,failed,2024-05-16 00:33:20.268740+00:00
2023-09-04 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,True,contract tx,5,121676,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-29 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,True,revdev,True,contract tx,255910,183374652578,True,success,2024-05-16 00:33:20.268740+00:00
2024-01-24 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,False,not revdev,True,contract tx,27785,1555029127,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-03 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,1372263,260991606349,True,success,2024-05-16 00:33:20.268740+00:00
2024-01-31 00:00:00.000 UTC,base,False,no eth tfer,True,has event,False,not revdev,True,contract tx,3742,251067980,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-21 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,True,revdev,True,contract tx,71069,14708526281,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-18 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,381,60128437,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-07 00:00:00.000 UTC,zora,True,eth tfer,True,has event,False,not revdev,True,contract tx,58,5594342,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-14 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,5365,9378289070,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-26 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,True,contract tx,364115,23202751096,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-13 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,8454,781748772,False,failed,2024-05-16 00:33:20.268740+00:00
2024-04-17 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,True,contract tx,448551,30921970992,False,failed,2024-05-16 00:33:20.268740+00:00
2024-04-30 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,10478,1089925482,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-23 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,421,30059021,False,failed,2024-05-16 00:33:20.268740+00:00
2023-11-23 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,631,109609767,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-12 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,62692,1316532000,True,success,2024-05-16 00:33:20.268740+00:00
2024-01-17 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,232,114186055,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-03 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,397,84322900,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-22 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,2377,641442973,False,failed,2024-05-16 00:33:20.268740+00:00
2023-08-07 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,True,contract tx,22728,2590384990,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-25 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,359,7539000,True,success,2024-05-16 00:33:20.268740+00:00
