badgeholder_address,round_allocation,category_allocation,declared_COIs
0xaeb99a255c3a243ab3e4f654041e9bf5340cf313,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_TOOLING': '33.33'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}]",[]
0x801707059a55d748b23b02043c71b7a3d976f071,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_TOOLING': '10'}]",[]
0x1e6d9f536a5d1cc04fc13b3133efdb90c8ee5ea1,4900000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '44.33'}, {'OP_STACK_TOOLING': '33.33'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '22.33946703213035'}]",[]
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '37.5'}, {'OP_STACK_TOOLING': '37.5'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",[]
0x5555763613a12d8f3e73be831dff8598089d3dca,6500000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '38'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '38'}, {'OP_STACK_TOOLING': '24'}]",[]
0xeee718c1e522ecb4b609265db7a83ab48ea0b06f,8000000,"[{'OP_STACK_TOOLING': '50.33'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '34.33'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '15.34'}]",[]
0xdb5781a835b60110298ff7205d8ef9678ff1f800,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '49'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '42'}, {'OP_STACK_TOOLING': '9'}]",[]
0x07bf3cda34aa78d92949bbdce31520714ab5b228,5000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '65'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '25'}, {'OP_STACK_TOOLING': '10'}]",[]
0x277d26a45add5775f21256159f089769892cea5b,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50.34'}, {'OP_STACK_TOOLING': '25.07525256361565'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '24.58'}]",[]
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,6500000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '33.33'}, {'OP_STACK_TOOLING': '26.67'}]",['0x99f2af658ef373b4c227972a458db4a6149fb7179103ad7418c7d3185d0bfeb5']
0xf8e30c251aa7974aa0a2d9e452d863681f8b59ac,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '38'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '32'}, {'OP_STACK_TOOLING': '30'}]","['0x6e299c690e4ea63ec248ed245b97dd1a03bcf4d08a7721f660e74c8eae6d50ee', '0x6c524b0afee6ab66e507b86f07f0338c5d1e5b7257c4b6fd80efdc56f30899df', '0xdbb1c00bcb783a6d57f89e21708b28a2f46e68012eba282142a05f2616c90dce']"
0x826976d7c600d45fb8287ca1d7c76fc8eb732030,4500000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '30'}]",[]
0xd31b671f1a398b519222fdaba5ab5464b9f2a3fa,4000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",['0x8687895d7e9295384b77eea6a3ec763a9b7ac88cc5667104d6746c654acdacd3']
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '25'}]",['0x7ee54d5d8514a8be9172e4ce0dfb54cc3eba6cf57c88b85e76262dc307178832']
0xcafd432b7ecafff352d92fcb81c60380d437e99d,4000000,"[{'OP_STACK_TOOLING': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0xde2b6860cb3212a6a1f8f8628abfe076723a4b39,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '15'}]",[]
0x308fedfb88f6e85f27b85c8011ccb9b5e15bcbf7,8000000,"[{'OP_STACK_TOOLING': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30.00449977501125'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '29.99550022498875'}]",[]
0xce8925db997c654ca6830b645f7a7acfef2cc503,6000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45.63'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '34.11418839808409'}, {'OP_STACK_TOOLING': '20.26'}]",[]
0x92bf20563e747b2f8711549be17a9d7b876c4053,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'OP_STACK_TOOLING': '35'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0xa142ab9eab9264807a41f0e5cbdab877d204e233,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '10'}]",[]
0x69dc230b06a15796e3f42baf706e0e55d4d5eaa1,6900000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,7000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",['0xb0acb1a252cdb3b2a7dfadc8c5925da71f005082ec045d8bb3855f64ac4774b9']
0x94db037207f6fb697dbd33524aadffd108819dc8,7500000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30'}, {'OP_STACK_TOOLING': '30'}]",[]
0xfdfab69f684876493fb4403be0da0acb8c64a88e,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '60'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '10'}]",[]
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,3250000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '36.33'}, {'OP_STACK_TOOLING': '33.67'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30'}]",[]
0xc0017405e287476443ab1b342b86f2ea92ef9f73,3500000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0x434f5325ddcdbbfcce64be2617c72c4aa33ec3e7,3800000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30'}, {'OP_STACK_TOOLING': '30'}]",[]
0x0331969e189d63fbc31d771bb04ab44227d748d8,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '37.97'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '36.7'}, {'OP_STACK_TOOLING': '25.33'}]",[]
0xdc0a92c350a52b6583e235a57901b8731af8b249,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '15'}]",[]
0xdadd7c883288cfe2e257b0a361865e5e9349808b,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",['0xd33479c5420a69c1ce3c8ba955593a63dcd454feeac43a4de417aa0bb793980a']
0x69e271483c38ed4902a55c3ea8aab9e7cc8617e5,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_TOOLING': '30'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '20'}]",[]
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,2000000,"[{'OP_STACK_TOOLING': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '15'}]",[]
