address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x00fe156f69f03a6aac6d79a85291317c693de251,False,True,False,False,False,True,False,1.05,48370239538149903069
0x00fef5e48159d94e80c5209fd46bef5f1ac4f3c8,True,False,True,True,False,True,False,1.25,31615216345934868514
0x00ffb2153e8f2475328898fdf9df0ee9d3cd92f4,True,False,True,True,False,True,False,1.25,55961148872514911545
0x01043e62540ebad88212ceac769ea9ae4c0b1be1,True,False,False,True,False,True,False,1.1,1143557279893190980147
0x0108a534ab006983a7840b508373ace926fe84fd,False,True,False,True,True,True,False,1.25,42192128052635624158
0x010c3822547c028c8d0b1f3b855d8813e7002b7a,True,False,False,False,True,True,False,1.1,29483964544511717776
0x010d2b0f345cae350204f4b67895ece2f09b249b,False,True,False,True,True,True,False,1.25,71821509675462493760
0x0116d4c19d23b22cea9d78911d05cbc387136599,True,False,True,True,True,True,False,1.5,184935321306581329281
0x011811895905ec36cfd617140eb77695ccad9c7f,True,False,True,True,False,True,False,1.25,108397620782335536660
0x011855f8a91a03f3da43cce5b4018d5a653ab4e0,True,False,False,True,False,True,False,1.1,102125005866413843592
0x011bf83d4880418d1d23f04640e72b0125b8fbd8,True,True,False,True,True,True,False,1.25,26025563603345403862
0x0121d50d99b1edac2e2e68765b964a6b8322adb6,False,True,False,True,True,False,False,1.1,24773288250125801824
0x01234562ec448ab8652c78abd8e97ec83efec64a,True,False,True,True,False,True,False,1.25,410546330295799293708
0x012434e5f0ea600689ee6b339d62c7d0e2daee6e,False,True,False,True,True,True,False,1.25,50146087313590619772
0x012584c85ff704555451234457992609c6e561bb,True,False,False,False,True,False,False,1.05,47834459034320694570
0x012e77d94e9754d3b8f0def485a5b7c68bc03f22,True,False,False,False,False,False,False,1.0,26678256322741699336
0x0133131055ce0bce522d85a28d893086720d0acd,False,True,False,True,True,True,False,1.25,2618106149944839671662
0x0136b00be94ed8ea798f40e37135596337305461,False,True,False,True,True,True,False,1.25,6000000000000000000000
0x013839ca15ad1176a88dbd7a0481d07103f6b4cf,False,True,False,True,True,True,False,1.25,32443128114885624314
0x01387736dc18d02e3787495f114a6874bf5c64a7,True,False,False,True,False,True,False,1.1,2577916803464344411623
0x013af764bac95b905a107ddfaf22e37c5a5cf48a,True,False,True,True,False,True,False,1.25,246372399605705822978
0x013cc394844aa993d73ca9a08d89dd6d046f3bcc,True,True,False,True,True,True,False,1.25,1713258420930695592688
0x013e6e36f838f70759023cec86fb4ce74d1fd7eb,True,False,False,True,False,True,False,1.1,242837824425891341207
0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,False,True,False,False,True,False,False,1.05,36780916597799851786
0x01498c62cc94e5552a5c516db43da40ac6e1ae6f,True,False,True,False,True,True,False,1.25,70505203630749917920
0x014c2b84bce4f4ec280c8d91d9f6a9eb46063daf,True,False,False,True,True,True,False,1.25,156788316067811081211
0x014d25672cc385dc05a561bdf0f616d45da78f13,True,False,False,False,True,True,False,1.1,290341302759174823223
0x014df7c0aeb9bb1442b146b58588d910cb0c3028,False,True,False,True,True,True,False,1.25,40518752065551872477
0x015122a625b45f68e6d795c0ab99fc7107e4c3b9,False,True,False,False,True,True,False,1.1,46725720174048852584
0x0156c381d411ac0157cd0c171f35b511aa601d3a,False,True,False,True,True,True,False,1.25,45368818657873120515
0x015abe15a4fd0f8654e84f1543fde9786dd19282,True,False,True,True,True,True,False,1.5,110089785832697756973
0x015f0c678e649cbaa70d4a29e6337b63c6495a07,False,True,False,False,True,False,False,1.05,23793269719879276636
0x01609a9b5fd181aabb4d72e12d4c2b6fb21d5fbc,False,True,False,False,False,True,False,1.05,29073515563044228571
0x016100d875e932c7b6f9416f151e562e04faf779,True,False,True,True,False,True,False,1.25,23782423879652650811
0x0161157b71e698bb00b33a6fe06131f0f3838f7c,True,False,False,False,False,False,False,1.0,216215509016363853334
0x016280cec1a73ea0ecc3ade69fc1fd22e94b8c65,True,False,False,False,False,False,False,1.0,608906319348307988548
0x0163b6a72900a0c8a60ffcfbe07a087a17a3d66f,True,False,False,True,False,True,False,1.1,32679941189203333352
0x016596abf1eb19de270e0409da362496b453fab2,True,False,True,True,False,True,False,1.25,6000000000000000000000
0x0165dfa0c24594ee8e4b75b1de5d411d6feae33d,True,False,True,True,True,True,False,1.5,1281781536110426486630
0x0166583d4fca6b844323ef9d46e84d6242b972e4,True,False,False,True,True,True,False,1.25,23281222608537287755
0x016badd9a21f7f8b44113be4435c24efd7ee21cb,True,False,False,False,False,False,False,1.0,29352267952478182877
0x016bb74b30824c8bfe7cedbd74c71f4e8c7690ea,True,False,True,True,True,True,False,1.5,245144028418507076594
0x0172425c9c7927ba5bfffce42d418afc556296e2,True,True,False,True,True,True,False,1.25,52188669953518768807
0x017639fb1174d8cc767c5be5b1b4349f37929909,True,False,True,True,True,True,False,1.5,1246873332540193132445
0x0177b9b6aad0c9c9aba2022577442fccc0bc20d9,False,True,False,True,True,True,False,1.25,1708258421774698035733
0x0177e1b290a1acf807a74e1a4f8f6d63961bae81,False,True,False,False,True,False,False,1.05,32291986190500580278
0x017a79f63500a3f26f27ab460332e56bfda7c1ef,False,True,False,True,True,True,False,1.25,302386807704453758561
0x017a906ca66c166391ad6bb5441af06396d62102,True,False,True,True,True,True,False,1.5,178945492159645823449
0x017bac7c58564181fdf3214731500d4911eaabea,False,True,False,True,True,False,False,1.1,25734888791797352781
0x017c6a922cc3ae2d1ccfe43395913b0a145238b3,True,False,True,True,False,True,False,1.25,33969365047871335150
0x017c76da4b363ad3274ce2f070423ca9a67eeefc,True,False,False,False,False,False,False,1.0,330130977194152251286
0x017f8ad14a2e745ea0f756bd57cd4852400be78c,True,True,False,True,True,True,False,1.25,6000000000000000000000
0x01808542d216fa2878c9e3481a1b9a85167fd239,True,False,True,True,False,True,False,1.25,172632823825636307902
