,join_id,dt,chain,active_secs_per_day,num_l1_txs_inbox,num_l1_txs_output,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_combined,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l1_gas_used_on_l2,calldata_bytes_l2_per_day,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used,l2_eth_fees_per_day,gas_compression_ratio,bytes_compression_ratio,dt_rank
40,2023-09-02op mainnet,2023-09-02 00:00:00+00:00,OP Mainnet,86400.0,555,24,64110421.0,12.228742599504194,11.942872539021815,12.163717275125926,1034564920.0,2084568.0,1036649488.0,12.651428109156647,0.0248957299229236,12.67632383907957,13.326510756480689,7.000611926706109,298565.0,43200.0,333.0,1601747428.0,140395039.0,1601747428.0,129022539.0,106097886115.0,20.3271226831868,0.6458976627119016,0.4566430655715691,11
41,2023-09-02base,2023-09-02 00:00:00+00:00,Base,86400.0,1425,24,51112883.0,12.291554467502742,11.539155059672243,12.20923899990382,845226560.0,2084352.0,847310912.0,10.389148299619976,0.0240516609269379,10.413199960546914,10.65463765585441,25.0079869465116,302048.0,43200.0,746.0,1275833460.0,101005663.0,1275833460.0,89440078.0,222430744736.0,35.66262460236601,0.6624897265196352,0.5060397752153758,11
42,2023-09-02zora network,2023-09-02 00:00:00+00:00,Zora Network,86400.0,148,24,12745545.0,12.241872927248917,12.716150156749167,7885441372.175083,206434596.0,2084328.0,208518924.0,2.527146092019967,0.0265046278239166,2.553650719843884,2.534137261719112,3.2503099363897148,88482.0,43200.0,18.0,303877004.0,28601699.0,303877004.0,17339659.0,13730946107.0,5.784447198109757,0.6793360250451858,0.4456219541363609,11
43,2023-09-02public goods network,2023-09-02 00:00:00+00:00,Public Goods Network,86400.0,145,24,1884406.0,12.13478263045977,12.772760623448336,64807102.63137047,33143452.0,2084328.0,35227780.0,0.4021885856430771,0.0266226226047508,0.4288112082478279,0.0063521681924886,0.0116571972164336,192.0,43200.0,31.0,645844.0,11276084.0,645844.0,31064.0,2198543034.0,0.0180093654089222,51.318045843888,0.1671152857676477,11
44,2023-09-01op mainnet,2023-09-01 00:00:00+00:00,OP Mainnet,86400.0,662,24,76582705.0,17.907715350528864,17.845443147244215,17.762211700000325,1235654704.0,2084628.0,1237739332.0,22.127752710774,0.0372011104571534,22.16495382123115,22.665287666132027,9.370120089061825,342105.0,43200.0,326.0,1865555148.0,157754989.0,1865555148.0,146384245.0,125921692372.0,32.03540775519385,0.6623522790654056,0.48545345846399823,12
45,2023-09-01base,2023-09-01 00:00:00+00:00,Base,86400.0,1429,24,57447825.0,18.212657650833496,18.280391503496716,18.13988744769415,946457556.0,2084232.0,948541788.0,17.237507448472577,0.0381005769441159,17.275608025416695,17.702206725990703,35.822060684764395,346144.0,43200.0,1068.0,1426713328.0,107816020.0,1426713328.0,96102375.0,221522020118.0,53.5242674107551,0.6633831320036564,0.5328319947258302,12
46,2023-09-01zora network,2023-09-01 00:00:00+00:00,Zora Network,86400.0,146,24,11317117.0,17.202076184494324,17.26993620292673,10062004801.585506,183598948.0,2084352.0,185683300.0,3.1582830908890127,0.0359966260644427,3.194279716953456,3.15085703400532,4.089308853917616,74141.0,43200.0,8.0,271952748.0,27745964.0,271952748.0,16476524.0,12908566023.0,7.240165887922786,0.6751134134522516,0.4078833591797351,12
47,2023-09-01public goods network,2023-09-01 00:00:00+00:00,Public Goods Network,86400.0,146,24,1884841.0,18.1892543816937,16.858914662014126,34042326.70201565,33170980.0,2084352.0,35255332.0,0.6033553933100739,0.0351399124935984,0.6384953058036724,0.0042286486246237,0.0152017605579873,76.0,43200.0,35.0,319080.0,11269548.0,319080.0,22848.0,2192786060.0,0.019430409182611,103.95819230287076,0.16725080721959745,12
48,2023-08-31op mainnet,2023-08-31 00:00:00+00:00,OP Mainnet,86400.0,768,24,88837497.0,22.12438040192349,21.524426089899787,21.735765365956176,1433456724.0,2084544.0,1435541268.0,31.714341851471048,0.044868613259144,31.75921046473019,33.00072494262873,14.348726619039864,422753.0,43200.0,369.0,2219690592.0,185334896.0,2219690592.0,173946284.0,176546546103.0,47.349451561668594,0.6457912328710721,0.4793349710029783,13
49,2023-08-31base,2023-08-31 00:00:00+00:00,Base,86400.0,1436,24,80804910.0,21.05330436733622,21.163240587330453,20.765423105213078,1319282364.0,2084304.0,1321366668.0,27.775253155750853,0.0441106270091352,27.81936378275999,29.09446793442569,50.10522510320913,478984.0,43200.0,1488.0,2048394180.0,152454365.0,2048394180.0,140544237.0,221137488291.0,79.19969303763482,0.6440568797163835,0.5300268706638869,13
50,2023-08-31zora network,2023-08-31 00:00:00+00:00,Zora Network,86400.0,163,24,11920521.0,21.522334434488943,21.70905836369036,12733942438.738724,193600956.0,2084292.0,195685248.0,4.166744521868779,0.0452480166749729,4.211992538543752,4.180563662498538,3.61384914553636,75302.0,43200.0,4.0,285544548.0,29532256.0,285544548.0,18250488.0,13478388057.0,7.794412808034138,0.678006137242025,0.40364410358626174,13
51,2023-08-31public goods network,2023-08-31 00:00:00+00:00,Public Goods Network,86400.0,145,24,1872433.0,22.033827606953444,21.67561780668101,40264594.25454672,32952580.0,2084304.0,35036884.0,0.7260714669243419,0.0451785768969364,0.7712500438212784,0.0044347861819506,0.0120319247388558,91.0,43200.0,37.0,342132.0,11268199.0,342132.0,20659.0,2191473854.0,0.0164667109208065,96.31539873499118,0.16616967804704194,13
52,2023-08-30op mainnet,2023-08-30 00:00:00+00:00,OP Mainnet,86400.0,726,24,84031209.0,22.97815982350941,21.15755062571484,22.744687649969585,1355758452.0,2084628.0,1357843080.0,31.152834392129723,0.0441056224457826,31.196940014575507,32.33735582105778,7.798280019521006,379635.0,43200.0,348.0,2078588052.0,178092336.0,2078588052.0,166712256.0,128702280252.0,40.13563584057879,0.6522497089769667,0.4718406804434302,14
53,2023-08-30base,2023-08-30 00:00:00+00:00,Base,86400.0,1429,24,62874204.0,23.474477899336414,21.121728115334136,23.351938611187084,1033022124.0,2084340.0,1035106464.0,24.24965501936357,0.0440248627799155,24.293679882143483,25.952144235377386,38.26692783881837,362835.0,43200.0,913.0,1624778652.0,128544158.0,1624778652.0,116902810.0,221884603178.0,64.21907207419575,0.6357925264025441,0.4891253323235429,14
54,2023-08-30zora network,2023-08-30 00:00:00+00:00,Zora Network,86400.0,146,24,10185168.0,22.65499100507472,22.000872496333105,10625611734.1416,165555024.0,2084328.0,167639352.0,3.750647579564928,0.0458570345685369,3.7965046141334655,3.579147878470597,3.225142867518277,63060.0,43200.0,4.0,232504732.0,38034595.0,232504732.0,14188099.0,13036782880.0,6.804290745988481,0.7120501272206365,0.267786945016767,14
55,2023-08-30public goods network,2023-08-30 00:00:00+00:00,Public Goods Network,86400.0,146,24,1895168.0,22.95795673553469,22.147354950532684,55286334.53172059,33335264.0,2084352.0,35419616.0,0.7653095486796271,0.0461628835858527,0.8114724322654798,0.0084921531562408,0.0214073666896454,105.0,43200.0,58.0,575024.0,11297792.0,575024.0,41432.0,2199785243.0,0.0298995198458863,57.97195247502713,0.1677467597208375,14
56,2023-08-29op mainnet,2023-08-29 00:00:00+00:00,OP Mainnet,86400.0,929,24,107255425.0,31.46018913677264,30.96808267268327,31.074832361304047,1730140216.0,2084556.0,1732224772.0,54.43053842849668,0.0645547025438379,54.49509313104051,53.89328275771657,28.576409701343035,383659.0,43200.0,395.0,2535535772.0,218463189.0,2535535772.0,207061609.0,152489160282.0,82.4696924590596,0.6823568553463106,0.4909542220405837,15
