App Name,# OP Allocated,Actions Rewarded,Announced On,Announcement Link,App Link,App Name Map Override,App Type,Created time,Description,End Date,Gov Proposal Link,Incentive / Growth Program Included?,Recipient L2 Address,SQL Import,Source,Start Date,Status,Status - Season
Hundred Finance,300000,Liquidity Providing / Deposits,"November 28, 2022",https://twitter.com/HundredFinance/status/1597094830278316032,https://hundred.finance/,,Lend/Borrow Market,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-hundred-finance/2733,Yes,,",('Project','','Hundred Finance','Governance - Season 1')",Governance - Season 1,"November 28, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Infinity Keys,25000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/infinity-keys-build-grant-cycle-11/5635,,0x37c752aA952CFb62cc403fd810F2a01801675Bcc,",('Project','0x37c752aA952CFb62cc403fd810F2a01801675Bcc','Infinity Keys','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
InsureDAO,100000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x8160b000b3c2977889daf8ea63a7ead186efde83376c00e9dac3269fb4dcd544,Yes,,",('Project','','InsureDAO','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Interest Protocol,31764,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x0ddd965be7471ca3d399af6b845791d86c649389e22681df1f62473d01a9a5fd,No - Grants Only,,",('Project','','Interest Protocol','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Inverter,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/builders-cycle-11-inverter-network-conditional-streaming-protocol-on-optimism/5623,,0x7878AefB660AF2B0928b6E1A8AcD2b97ECB37C2c,",('Project','0x7878AefB660AF2B0928b6E1A8AcD2b97ECB37C2c','Inverter','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
JiffyScan,46000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/jiffyscan-builder-grant-cycle-11/5562,,0xdd347ad6aA6D26ae6840ed3574E6Ce4b0E002066,",('Project','0xdd347ad6aA6D26ae6840ed3574E6Ce4b0E002066','JiffyScan','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Karma #1,25000,,,,,Karma,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x1720f1321a94a97ba0c23a612d543465cbf6f31aa80c8dc0aa016d6285bd0c03,No - Grants Only,,",('Project','','Karma #1','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Karma #2,15000,,,,,Karma,,"November 29, 2022 2:17 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xb6054ed78153c9112cac5dd3fbd234481c9961bfcbf665e645754f2e6c8b286b,No - Grants Only,,",('Project','','Karma #2','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Karma delegate registry,50000,,,,,Karma,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-karma-delegate-registry/4982,No - Grants Only,0x0204C6B5f6B7b960af998EA41A1994d0Fc649e79,",('Project','0x0204C6B5f6B7b960af998EA41A1994d0Fc649e79','Karma delegate registry','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Kromatika,300000,,,,,,DEX (Decentralized Exchange),"November 29, 2022 2:09 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x86ccfd9ccce609cb27fdbd5b8344a8fee67805d896e75cbe127185c8d94656f1,Yes,,",('Project','','Kromatika','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
